mangaid,ha_z
1-109378,0.03905772
1-109378,0.03905771
1-38392,0.03777262
1-38392,0.03777254
1-38381,0.02523734
1-38381,0.02523734
1-38373,0.0362274
1-38373,0.03610471
1-38618,0.02174984
1-38618,0.02174984
1-202131,0.02103576
1-202131,0.02103576
1-604052,0.0216968
1-604052,0.0216968
1-38463,0.02262462
1-38463,0.02262631
1-38334,0.03721334
1-38334,0.03721333
1-38299,0.02045775
1-38299,0.02045775
1-38377,0.04079419
1-38377,0.04079418
1-38007,0.03585387
1-38007,0.03585387
1-38354,0.05361089
1-38354,0.05361098
1-38210,0.02280885
1-38210,0.02280886
1-38272,0.02589081
1-38272,0.02589082
1-38368,0.02938817
1-38368,0.02938817
1-604062,0.02162374
1-604062,0.02162148
1-38486,0.04997218
1-38486,0.0479339
1-604085,0.03084971
1-604085,0.03084971
1-38514,0.04021821
1-38514,0.04021914
1-38298,0.03901426
1-38298,0.0388894
1-38567,0.03106314
1-38567,0.03106159
1-38379,0.03685183
1-38379,0.03685183
1-109419,0.104496
1-109419,0.1037771
1-38310,0.03890068
1-38310,0.03894878
1-38348,0.03685921
1-38348,0.03685921
1-109392,0.05149351
1-109392,0.05149349
1-38323,0.03891034
1-38323,0.03859404
1-38293,0.0389755
1-38293,0.03897617
1-38470,0.02041442
1-38470,0.02041442
1-38353,0.03760696
1-38353,0.03758473
1-38461,0.05156282
1-38461,0.05156272
1-289993,0.04025751
1-289993,0.04025424
1-289817,0.02512319
1-289817,0.02512319
1-202097,0.04047592
1-202097,0.04047896
1-38802,0.1085044
1-38802,0.1085043
1-229010,0.04088408
1-229010,0.04088362
1-229012,0.04028694
1-229012,0.04028683
1-228987,0.01500778
1-228987,0.01500778
1-229017,0.04831946
1-229017,0.04827085
1-229070,0.02545495
1-229070,0.02545495
1-229064,0.0253306
1-229064,0.02532929
1-229021,0.04016923
1-229021,0.04016923
1-229078,0.1316682
1-229078,0.1315786
1-229015,0.04050036
1-229015,0.04050035
1-290015,0.0388809
1-290015,0.038886
1-228978,0.03619218
1-228978,0.03619218
1-228997,0.039866
1-228997,0.03986599
1-229060,0.03588593
1-229060,0.03588594
1-584473,0.01714613
1-584473,0.01714613
1-338305,0.07374559
1-338305,0.0737456
1-377167,0.04304763
1-377167,0.04304764
1-338113,0.04977186
1-338113,0.0497719
1-338117,0.1413664
