mangaid,sfr_tot,nsa_sersic_mass
1.37068,0.06246931,1.20157E+10
1.37068,0.05875117,1.20157E+10
1.37036,0.03470692,4.80166E+10
1.37036,0.03147817,4.80166E+10
1.36833,0.07945178,4.03564E+09
1.36833,0.06673735,4.03564E+09
1.109056,0.266243,1.58652E+10
1.109056,0.1751132,1.58652E+10
1.36919,0.7247326,2.40347E+10
1.36919,0.5239068,2.40347E+10
1.36945,0.1125372,1.0597E+10
1.36945,0.06948291,1.0597E+10
1.36923,0.04897577,1.61371E+09
1.36923,0.02325804,1.61371E+09
1.36832,0.3379395,6.98277E+10
1.36832,0.3011327,6.98277E+10
1.202377,0.05445001,3.61541E+09
1.202377,0.008585492,3.61541E+09
1.37211,0.2555391,4.1928E+10
1.37211,0.1625409,4.1928E+10
1.109073,0.2232035,7.934E+09
1.109073,0.06290962,7.934E+09
1.36897,0.09909355,2.62945E+09
1.36897,0.01532482,2.62945E+09
1.109112,0.002878354,1.34372E+10
1.109112,0.002639897,1.34372E+10
1.109167,0.01386504,1.26432E+10
1.109167,0.01322405,1.26432E+10
1.36899,0.05570085,2.6991E+09
1.36899,0.035931,2.6991E+09
1.37079,0.01621573,1.94708E+09
1.37079,0.002823703,1.94708E+09
1.36880,0.0882488,2.13966E+09
1.36880,0.05133764,2.13966E+09
1.36892,0.07535498,1.98742E+09
1.36892,0.04209451,1.98742E+09
1.36877,0.1203218,1.7395E+11
1.36877,0.04777413,1.7395E+11
1.36890,0.009439872,3.7675E+10
1.36890,0.008240919,3.7675E+10
1.37213,0.4823312,3.04426E+10
1.37213,0.465028,3.04426E+10
1.37084,0.4647812,2.14874E+09
1.37084,0.3889618,2.14874E+09
1.36905,0.1764241,2.7069E+09
1.36905,0.143258,2.7069E+09
1.36878,0.1870085,1.61765E+10
1.36878,0.1557949,1.61765E+10
1.37640,0.7398002,2.23605E+10
1.37640,0.3282078,2.23605E+10
1.109244,0.09267444,2.94221E+10
1.109244,0.04005007,2.94221E+10
1.604022,0.9403206,4.45912E+10
1.604022,0.9327689,4.45912E+10
1.38067,0.1906761,1.39218E+09
1.38067,0.1536345,1.39218E+09
1.37695,0.1703051,1.2024E+10
1.37695,0.03528416,1.2024E+10
1.37922,0.001343977,5.06636E+09
1.37922,0.0006893244,5.06636E+09
1.109250,0.1360563,7.37685E+08
1.109250,0.1164793,7.37685E+08
1.37744,0.08638799,1.42096E+09
1.37744,0.06663159,1.42096E+09
